address;region;city;okato;oktmo;timezone;geo_lat;geo_lon;population;foundation_year
Респ Ингушетия, г. Карабулак;6;Карабулак;26408000000;26710000001;UTC+3;43.3055248;44.9094582;31081;1859
г. Магас;6;Магас;26401000000;26701000001;UTC+3;43.1688611;44.8131207;2505;1995
Респ Ингушетия, г. Малгобек;6;Малгобек;26405000000;26715000001;UTC+3;43.5096646;44.5901963;31076;1934
Респ Ингушетия, г. Назрань;6;Назрань;26406000000;26706000001;UTC+3;43.2257841;44.7645779;93357;1781
Респ Ингушетия, г. Сунжа;6;Сунжа;26230835001;26720000001;UTC+3;43.3204196;45.0476331;64493[3];1845
Иркутская обл, Нижнеудинский р-н, г. Алзамай;42;Алзамай;25228508000;25628105001;UTC+8;55.5551233;98.6643699;6751;1899
Иркутская обл, г. Ангарск;42;Ангарск;25203501000;25703000001;UTC+8;52.544879;103.888543;233765;1948
Иркутская обл, Слюдянский р-н, г. Байкальск;42;Байкальск;25234508000;25634108001;UTC+8;51.5230393;104.1487532;13589;1961
Иркутская обл, Тайшетский р-н, г. Бирюсинск;42;Бирюсинск;25236508000;25636105001;UTC+8;55.9609167;97.8205348;8981;1967
Иркутская обл, г. Бодайбо;42;Бодайбо;25202501000;25602101001;UTC+8;57.8468636;114.1866287;15331;1864
Иркутская обл, г. Братск;42;Братск;25414000000;25714000001;UTC+8;56.1513108;101.6340035;246348;1631
Иркутская обл, Братский р-н, г. Вихоревка;42;Вихоревка;25204503000;25604103001;UTC+8;56.1208145;101.1702926;22528;1957
Иркутская обл, г. Железногорск-Илимский;42;Железногорск-Илимский;25226501000;25626101001;UTC+8;56.5847888;104.114275;26134;1948
Иркутская обл, г. Зима;42;Зима;25420000000;25720000001;UTC+8;53.920693;102.0491772;32522;1743
г. Иркутск;42;Иркутск;25401000000;25701000001;UTC+8;52.2864036;104.2807466;587225;1661
Иркутская обл, г. Киренск;42;Киренск;25220501000;25620101;UTC+8;57.7756595;108.1109412;12652;1630
Иркутская обл, г. Нижнеудинск;42;Нижнеудинск;25228501000;25628101001;UTC+8;54.8968931;99.0314056;37056;1648
Иркутская обл, г. Саянск;42;Саянск;25426000000;25726000001;UTC+8;54.1107238;102.18015;40786;1970
Иркутская обл, г. Свирск;42;Свирск;25427000000;25746000001;UTC+8;53.0842668;103.3364093;13649;19 век
Иркутская обл, г. Слюдянка;42;Слюдянка;25234501000;25634101001;UTC+8;51.6563983;103.7187545;18542;1899
Иркутская обл, г. Тайшет;42;Тайшет;25236501000;25636101001;UTC+8;55.9405334;98.0030145;35481;1897
Иркутская обл, г. Тулун;42;Тулун;25432000000;25732000001;UTC+8;54.557162;100.5780603;44603;1735
Иркутская обл, г. Усолье-Сибирское;42;Усолье-Сибирское;25436000000;25736000001;UTC+8;52.7565808;103.6388109;83364;1669
Иркутская обл, г. Усть-Илимск;42;Усть-Илимск;25438000000;25738000001;UTC+8;57.9430504;102.7415734;86591;1966
Иркутская обл, г. Усть-Кут;42;Усть-Кут;25244501000;25644101001;UTC+8;56.7928178;105.7757343;45061;1631
Иркутская обл, г. Черемхово;42;Черемхово;25445000000;25745000001;UTC+8;53.1369095;103.0901268;52650;1772
Иркутская обл, г. Шелехов;42;Шелехов;25255501000;25655101001;UTC+8;52.2102538;104.0973294;47960;1953
Респ Кабардино-Балкарская, г. Баксан;7;Баксан;83403000000;83703000;UTC+3;43.6819137;43.5345036;36857;1891
Респ Кабардино-Балкарская, г. Майский;7;Майский;83220501000;83620101;UTC+3;43.6281516;44.0517314;26755;19 век
